pred,label,max_prob,length_tokens,latency_s_per_sample,precision,batch_size,seq_len,repeat_id
1,0,0.523310781,28,0.0098319,fp32_strict,1,128,1
1,0,0.523920894,22,0.0098079,fp32_strict,1,128,1
1,1,0.524419188,23,0.0101304,fp32_strict,1,128,1
1,1,0.526122868,12,0.009918,fp32_strict,1,128,1
1,1,0.525458574,15,0.009983,fp32_strict,1,128,1
1,0,0.527614355,18,0.0097999,fp32_strict,1,128,1
1,0,0.524024248,42,0.0097313,fp32_strict,1,128,1
1,1,0.524597406,38,0.0098652,fp32_strict,1,128,1
1,1,0.523904979,13,0.0098951,fp32_strict,1,128,1
1,1,0.527673602,32,0.0098848,fp32_strict,1,128,1
1,0,0.52539736,20,0.0100727,fp32_strict,1,128,1
1,1,0.526431262,17,0.0097829,fp32_strict,1,128,1
1,0,0.525123298,16,0.0122023,fp32_strict,1,128,1
1,1,0.523950398,22,0.0125239,fp32_strict,1,128,1
1,1,0.525094807,34,0.0101085,fp32_strict,1,128,1
1,0,0.526519537,55,0.0113251,fp32_strict,1,128,1
1,1,0.522348464,24,0.0101526,fp32_strict,1,128,1
1,0,0.526780903,27,0.00974,fp32_strict,1,128,1
1,0,0.527672648,25,0.0098548,fp32_strict,1,128,1
1,1,0.523875952,31,0.0099986,fp32_strict,1,128,1
1,1,0.524992764,28,0.0098424,fp32_strict,1,128,1
1,1,0.526777208,26,0.0098061,fp32_strict,1,128,1
1,0,0.525271535,27,0.0097724,fp32_strict,1,128,1
1,1,0.525863349,24,0.0098095,fp32_strict,1,128,1
1,1,0.52549839,40,0.0099376,fp32_strict,1,128,1
1,1,0.526997626,23,0.0098326,fp32_strict,1,128,1
1,1,0.526089668,23,0.0146537,fp32_strict,1,128,1
1,1,0.523163199,23,0.0099086,fp32_strict,1,128,1
1,0,0.524752259,18,0.0101584,fp32_strict,1,128,1
1,1,0.525152445,25,0.0099497,fp32_strict,1,128,1
1,1,0.523578227,32,0.009803,fp32_strict,1,128,1
1,0,0.525938809,31,0.0097143,fp32_strict,1,128,1
1,0,0.525570989,34,0.0098628,fp32_strict,1,128,1
1,1,0.524752498,34,0.0098918,fp32_strict,1,128,1
1,0,0.52401948,30,0.0099929,fp32_strict,1,128,1
1,0,0.526013196,13,0.0098036,fp32_strict,1,128,1
1,1,0.524408162,28,0.0094906,fp32_strict,1,128,1
1,0,0.527279317,27,0.0094721,fp32_strict,1,128,1
1,1,0.530658066,22,0.0094923,fp32_strict,1,128,1
1,1,0.527412117,18,0.0094638,fp32_strict,1,128,1
1,1,0.527482212,54,0.0094627,fp32_strict,1,128,1
1,0,0.524223983,40,0.0094259,fp32_strict,1,128,1
1,1,0.522065759,23,0.0095492,fp32_strict,1,128,1
1,0,0.521976054,28,0.0094221,fp32_strict,1,128,1
1,0,0.522763014,27,0.0095071,fp32_strict,1,128,1
1,1,0.527043104,24,0.0098985,fp32_strict,1,128,1
1,0,0.52452749,16,0.0096441,fp32_strict,1,128,1
1,0,0.526360154,20,0.0096603,fp32_strict,1,128,1
1,1,0.525682449,10,0.0095111,fp32_strict,1,128,1
1,0,0.526334405,10,0.0095422,fp32_strict,1,128,1
1,1,0.523877621,35,0.0114892,fp32_strict,1,128,1
1,0,0.524767637,24,0.009469,fp32_strict,1,128,1
1,1,0.526942492,20,0.0110556,fp32_strict,1,128,1
1,1,0.524795294,32,0.0094301,fp32_strict,1,128,1
1,0,0.526431918,26,0.0094015,fp32_strict,1,128,1
1,0,0.527255118,21,0.0094881,fp32_strict,1,128,1
1,1,0.528435409,33,0.0096496,fp32_strict,1,128,1
1,0,0.523340285,27,0.009641,fp32_strict,1,128,1
1,1,0.525980055,13,0.0094498,fp32_strict,1,128,1
1,1,0.525052726,15,0.0095208,fp32_strict,1,128,1
1,1,0.525847673,39,0.0095944,fp32_strict,1,128,1
1,1,0.528206289,29,0.0095533,fp32_strict,1,128,1
1,0,0.524252653,29,0.0095088,fp32_strict,1,128,1
1,0,0.525483429,39,0.0094798,fp32_strict,1,128,1
1,1,0.524941981,33,0.0113487,fp32_strict,1,128,1
1,1,0.524751246,22,0.0116584,fp32_strict,1,128,1
1,0,0.523609102,16,0.0094194,fp32_strict,1,128,1
1,0,0.523913562,21,0.009452,fp32_strict,1,128,1
1,1,0.527999938,24,0.0095531,fp32_strict,1,128,1
1,0,0.527028441,51,0.0095348,fp32_strict,1,128,1
1,0,0.524416983,25,0.009551,fp32_strict,1,128,1
1,0,0.52346319,49,0.0096583,fp32_strict,1,128,1
1,0,0.524559736,17,0.0096028,fp32_strict,1,128,1
1,0,0.52660954,11,0.009512,fp32_strict,1,128,1
1,1,0.526819289,14,0.0095826,fp32_strict,1,128,1
1,0,0.52545929,16,0.0095083,fp32_strict,1,128,1
1,0,0.522125185,28,0.0094796,fp32_strict,1,128,1
1,0,0.524361372,21,0.0102059,fp32_strict,1,128,1
1,1,0.525433898,20,0.0097933,fp32_strict,1,128,1
1,1,0.524692953,16,0.0101195,fp32_strict,1,128,1
1,0,0.52815038,25,0.0100333,fp32_strict,1,128,1
1,0,0.523743212,34,0.0096877,fp32_strict,1,128,1
1,1,0.528270364,28,0.0098174,fp32_strict,1,128,1
1,0,0.526487589,33,0.0099596,fp32_strict,1,128,1
1,0,0.524786055,23,0.0097885,fp32_strict,1,128,1
1,1,0.525170684,40,0.0097859,fp32_strict,1,128,1
1,1,0.526177883,13,0.0119899,fp32_strict,1,128,2
1,0,0.527894855,10,0.0117862,fp32_strict,1,128,2
1,1,0.525993526,24,0.0105979,fp32_strict,1,128,2
1,1,0.526922882,27,0.0106235,fp32_strict,1,128,2
1,0,0.527820587,13,0.0106737,fp32_strict,1,128,2
1,1,0.527035117,26,0.0128572,fp32_strict,1,128,2
1,0,0.52741611,8,0.0150939,fp32_strict,1,128,2
1,0,0.527631462,16,0.0132399,fp32_strict,1,128,2
1,1,0.521685839,26,0.0106185,fp32_strict,1,128,2
1,0,0.527687311,39,0.0109628,fp32_strict,1,128,2
1,1,0.525103509,21,0.0103013,fp32_strict,1,128,2
1,0,0.526304483,45,0.0102884,fp32_strict,1,128,2
1,0,0.528429151,22,0.011439,fp32_strict,1,128,2
1,1,0.5247823,29,0.0103359,fp32_strict,1,128,2
1,0,0.523458719,30,0.0125529,fp32_strict,1,128,2
1,1,0.527351081,29,0.010893,fp32_strict,1,128,2
1,1,0.526352823,22,0.009782,fp32_strict,1,128,2
1,1,0.526622891,48,0.0104522,fp32_strict,1,128,2
1,0,0.528336227,13,0.0094892,fp32_strict,1,128,2
1,0,0.525178134,22,0.0095684,fp32_strict,1,128,2
1,0,0.523943782,37,0.0111446,fp32_strict,1,128,2
1,0,0.525310993,18,0.0114371,fp32_strict,1,128,2
1,0,0.52445209,11,0.011125,fp32_strict,1,128,2
1,1,0.527612388,21,0.0111032,fp32_strict,1,128,2
1,1,0.524151742,20,0.0107007,fp32_strict,1,128,2
1,0,0.52331847,36,0.010382,fp32_strict,1,128,2
1,0,0.523967385,35,0.0106492,fp32_strict,1,128,2
1,1,0.524192512,29,0.0101736,fp32_strict,1,128,2
1,0,0.528480411,21,0.0093789,fp32_strict,1,128,2
1,0,0.526717663,14,0.0105304,fp32_strict,1,128,2
1,1,0.526393473,39,0.0107557,fp32_strict,1,128,2
1,0,0.525018573,32,0.010667,fp32_strict,1,128,2
1,1,0.528269172,12,0.0093492,fp32_strict,1,128,2
1,0,0.525604129,39,0.0093847,fp32_strict,1,128,2
1,0,0.523334324,25,0.0097935,fp32_strict,1,128,2
1,0,0.526528418,15,0.0095002,fp32_strict,1,128,2
1,1,0.526037693,32,0.0096031,fp32_strict,1,128,2
1,0,0.525035679,38,0.009588,fp32_strict,1,128,2
1,1,0.527394533,28,0.0106317,fp32_strict,1,128,2
1,1,0.528210163,25,0.0114154,fp32_strict,1,128,2
1,1,0.525933206,24,0.0095119,fp32_strict,1,128,2
1,1,0.526732028,26,0.0097278,fp32_strict,1,128,2
1,1,0.523418725,25,0.0095201,fp32_strict,1,128,2
1,1,0.526579857,15,0.0094996,fp32_strict,1,128,2
1,0,0.523911774,22,0.0096016,fp32_strict,1,128,2
1,0,0.526517987,20,0.0105091,fp32_strict,1,128,2
1,0,0.525445998,24,0.0095362,fp32_strict,1,128,2
1,1,0.526401937,18,0.0112296,fp32_strict,1,128,2
1,1,0.524263382,16,0.0096715,fp32_strict,1,128,2
1,0,0.525930583,26,0.0102853,fp32_strict,1,128,2
1,0,0.527301371,43,0.009901,fp32_strict,1,128,2
1,1,0.526582062,31,0.0097415,fp32_strict,1,128,2
1,1,0.52758038,23,0.0097651,fp32_strict,1,128,2
1,1,0.525376439,20,0.0113063,fp32_strict,1,128,2
1,0,0.524014294,27,0.0098196,fp32_strict,1,128,2
1,1,0.526648641,10,0.0099038,fp32_strict,1,128,2
1,0,0.527174115,29,0.0097254,fp32_strict,1,128,2
1,0,0.527109623,15,0.0098949,fp32_strict,1,128,2
1,0,0.525227547,16,0.0103795,fp32_strict,1,128,2
1,0,0.526085675,37,0.010134,fp32_strict,1,128,2
1,1,0.525130391,26,0.0099497,fp32_strict,1,128,2
1,0,0.527042031,37,0.0108902,fp32_strict,1,128,2
1,1,0.525991857,22,0.010709,fp32_strict,1,128,2
1,1,0.5248276,32,0.0097671,fp32_strict,1,128,2
1,0,0.523310781,28,0.0100398,fp32_strict,1,128,2
1,0,0.523920894,22,0.0104624,fp32_strict,1,128,2
1,1,0.524419188,23,0.0098257,fp32_strict,1,128,2
1,1,0.526122868,12,0.0099539,fp32_strict,1,128,2
1,1,0.525458574,15,0.011377,fp32_strict,1,128,2
1,0,0.527614355,18,0.0099148,fp32_strict,1,128,2
1,0,0.524024248,42,0.0098272,fp32_strict,1,128,2
1,1,0.524597406,38,0.011835,fp32_strict,1,128,2
1,1,0.523904979,13,0.0096553,fp32_strict,1,128,2
1,1,0.527673602,32,0.0099776,fp32_strict,1,128,2
1,0,0.52539736,20,0.0101907,fp32_strict,1,128,2
1,1,0.526431262,17,0.0114636,fp32_strict,1,128,2
1,0,0.525123298,16,0.0098143,fp32_strict,1,128,2
1,1,0.523950398,22,0.0105206,fp32_strict,1,128,2
1,1,0.525094807,34,0.0098237,fp32_strict,1,128,2
1,0,0.526519537,55,0.0099625,fp32_strict,1,128,2
1,1,0.522348464,24,0.0102849,fp32_strict,1,128,2
1,0,0.526780903,27,0.0099337,fp32_strict,1,128,2
1,0,0.527672648,25,0.0115285,fp32_strict,1,128,2
1,1,0.523875952,31,0.0097486,fp32_strict,1,128,2
1,1,0.524992764,28,0.0098738,fp32_strict,1,128,2
1,1,0.526777208,26,0.0097634,fp32_strict,1,128,2
1,0,0.525271535,27,0.0097111,fp32_strict,1,128,2
1,1,0.525863349,24,0.0097999,fp32_strict,1,128,2
1,1,0.52549839,40,0.009902,fp32_strict,1,128,2
1,1,0.526997626,23,0.0150632,fp32_strict,1,128,2
1,1,0.526089668,23,0.0108236,fp32_strict,1,128,2
1,1,0.523163199,23,0.010241,fp32_strict,1,128,2
1,0,0.524752259,18,0.0100908,fp32_strict,1,128,2
1,1,0.525152445,25,0.0098459,fp32_strict,1,128,2
1,1,0.523578227,32,0.0103638,fp32_strict,1,128,2
1,0,0.525938809,31,0.0122401,fp32_strict,1,128,2
1,0,0.525570989,34,0.0113824,fp32_strict,1,128,2
1,1,0.524752498,34,0.0137983,fp32_strict,1,128,2
1,0,0.52401948,30,0.0111248,fp32_strict,1,128,2
1,0,0.526013196,13,0.00946,fp32_strict,1,128,2
1,1,0.524408162,28,0.009519,fp32_strict,1,128,2
1,0,0.527279317,27,0.0094565,fp32_strict,1,128,2
1,1,0.530658066,22,0.0109508,fp32_strict,1,128,2
1,1,0.527412117,18,0.0094613,fp32_strict,1,128,2
1,1,0.527482212,54,0.009419,fp32_strict,1,128,2
1,0,0.524223983,40,0.0094778,fp32_strict,1,128,2
1,1,0.522065759,23,0.0110689,fp32_strict,1,128,2
1,0,0.521976054,28,0.0095656,fp32_strict,1,128,2
1,0,0.522763014,27,0.0094303,fp32_strict,1,128,2
1,1,0.527043104,24,0.0110327,fp32_strict,1,128,2
1,0,0.52452749,16,0.0096825,fp32_strict,1,128,2
1,0,0.526360154,20,0.0114609,fp32_strict,1,128,2
1,1,0.525682449,10,0.0117152,fp32_strict,1,128,2
1,0,0.526334405,10,0.0113404,fp32_strict,1,128,2
1,1,0.523877621,35,0.0105419,fp32_strict,1,128,2
1,0,0.524767637,24,0.0114889,fp32_strict,1,128,2
1,1,0.526942492,20,0.0094565,fp32_strict,1,128,2
1,1,0.524795294,32,0.0096019,fp32_strict,1,128,2
1,0,0.526431918,26,0.0117637,fp32_strict,1,128,2
1,0,0.527255118,21,0.0106595,fp32_strict,1,128,2
1,1,0.528435409,33,0.0097457,fp32_strict,1,128,2
1,0,0.523340285,27,0.0093926,fp32_strict,1,128,2
1,1,0.525980055,13,0.0094651,fp32_strict,1,128,2
1,1,0.525052726,15,0.0099566,fp32_strict,1,128,2
1,1,0.525847673,39,0.0095672,fp32_strict,1,128,2
1,1,0.528206289,29,0.009511,fp32_strict,1,128,2
1,0,0.524252653,29,0.0095513,fp32_strict,1,128,2
1,0,0.525483429,39,0.0096062,fp32_strict,1,128,2
1,1,0.524941981,33,0.0101739,fp32_strict,1,128,2
1,1,0.524751246,22,0.0095126,fp32_strict,1,128,2
1,0,0.523609102,16,0.0095836,fp32_strict,1,128,2
1,0,0.523913562,21,0.0114716,fp32_strict,1,128,2
1,1,0.527999938,24,0.0096542,fp32_strict,1,128,2
1,0,0.527028441,51,0.0104075,fp32_strict,1,128,2
1,0,0.524416983,25,0.0103194,fp32_strict,1,128,2
1,0,0.52346319,49,0.0095212,fp32_strict,1,128,2
1,0,0.524559736,17,0.0094202,fp32_strict,1,128,2
1,0,0.52660954,11,0.0105289,fp32_strict,1,128,2
1,1,0.526819289,14,0.0094965,fp32_strict,1,128,2
1,0,0.52545929,16,0.009848,fp32_strict,1,128,2
1,0,0.522125185,28,0.0098724,fp32_strict,1,128,2
1,0,0.524361372,21,0.0099537,fp32_strict,1,128,2
1,1,0.525433898,20,0.0098525,fp32_strict,1,128,2
1,1,0.524692953,16,0.0098802,fp32_strict,1,128,2
1,0,0.52815038,25,0.0098394,fp32_strict,1,128,2
1,0,0.523743212,34,0.009702,fp32_strict,1,128,2
1,1,0.528270364,28,0.0108542,fp32_strict,1,128,2
1,0,0.526487589,33,0.0097894,fp32_strict,1,128,2
1,0,0.524786055,23,0.0097811,fp32_strict,1,128,2
1,1,0.525170684,40,0.0115434,fp32_strict,1,128,2
1,1,0.526177883,13,0.0116324,fp32_strict,1,128,3
1,0,0.527894855,10,0.0108849,fp32_strict,1,128,3
1,1,0.525993526,24,0.0106967,fp32_strict,1,128,3
1,1,0.526922882,27,0.0130998,fp32_strict,1,128,3
1,0,0.527820587,13,0.0107425,fp32_strict,1,128,3
1,1,0.527035117,26,0.0106626,fp32_strict,1,128,3
1,0,0.52741611,8,0.0105699,fp32_strict,1,128,3
1,0,0.527631462,16,0.0110466,fp32_strict,1,128,3
1,1,0.521685839,26,0.0105467,fp32_strict,1,128,3
1,0,0.527687311,39,0.0105302,fp32_strict,1,128,3
1,1,0.525103509,21,0.0097807,fp32_strict,1,128,3
1,0,0.526304483,45,0.0104776,fp32_strict,1,128,3
1,0,0.528429151,22,0.0094792,fp32_strict,1,128,3
1,1,0.5247823,29,0.0096639,fp32_strict,1,128,3
1,0,0.523458719,30,0.0096794,fp32_strict,1,128,3
1,1,0.527351081,29,0.0096051,fp32_strict,1,128,3
1,1,0.526352823,22,0.0101351,fp32_strict,1,128,3
1,1,0.526622891,48,0.0097557,fp32_strict,1,128,3
1,0,0.528336227,13,0.0096478,fp32_strict,1,128,3
1,0,0.525178134,22,0.0101099,fp32_strict,1,128,3
1,0,0.523943782,37,0.0094782,fp32_strict,1,128,3
1,0,0.525310993,18,0.0113798,fp32_strict,1,128,3
1,0,0.52445209,11,0.0117333,fp32_strict,1,128,3
1,1,0.527612388,21,0.0135614,fp32_strict,1,128,3
1,1,0.524151742,20,0.0125976,fp32_strict,1,128,3
1,0,0.52331847,36,0.0127051,fp32_strict,1,128,3
1,0,0.523967385,35,0.0101832,fp32_strict,1,128,3
1,1,0.524192512,29,0.009433,fp32_strict,1,128,3
1,0,0.528480411,21,0.0094455,fp32_strict,1,128,3
1,0,0.526717663,14,0.0094478,fp32_strict,1,128,3
1,1,0.526393473,39,0.0116803,fp32_strict,1,128,3
1,0,0.525018573,32,0.0094763,fp32_strict,1,128,3
1,1,0.528269172,12,0.0095259,fp32_strict,1,128,3
1,0,0.525604129,39,0.0109015,fp32_strict,1,128,3
1,0,0.523334324,25,0.0112646,fp32_strict,1,128,3
1,0,0.526528418,15,0.011223,fp32_strict,1,128,3
1,1,0.526037693,32,0.0116691,fp32_strict,1,128,3
1,0,0.525035679,38,0.0110121,fp32_strict,1,128,3
1,1,0.527394533,28,0.01141,fp32_strict,1,128,3
1,1,0.528210163,25,0.0097824,fp32_strict,1,128,3
1,1,0.525933206,24,0.0095248,fp32_strict,1,128,3
1,1,0.526732028,26,0.0115573,fp32_strict,1,128,3
1,1,0.523418725,25,0.0112229,fp32_strict,1,128,3
1,1,0.526579857,15,0.0112544,fp32_strict,1,128,3
1,0,0.523911774,22,0.0116095,fp32_strict,1,128,3
1,0,0.526517987,20,0.0094469,fp32_strict,1,128,3
1,0,0.525445998,24,0.0135806,fp32_strict,1,128,3
1,1,0.526401937,18,0.0104141,fp32_strict,1,128,3
1,1,0.524263382,16,0.0098928,fp32_strict,1,128,3
1,0,0.525930583,26,0.0098362,fp32_strict,1,128,3
1,0,0.527301371,43,0.0107398,fp32_strict,1,128,3
1,1,0.526582062,31,0.0100399,fp32_strict,1,128,3
1,1,0.52758038,23,0.0097595,fp32_strict,1,128,3
1,1,0.525376439,20,0.0097315,fp32_strict,1,128,3
1,0,0.524014294,27,0.0098295,fp32_strict,1,128,3
1,1,0.526648641,10,0.0098084,fp32_strict,1,128,3
1,0,0.527174115,29,0.0098133,fp32_strict,1,128,3
1,0,0.527109623,15,0.0097992,fp32_strict,1,128,3
1,0,0.525227547,16,0.0101663,fp32_strict,1,128,3
1,0,0.526085675,37,0.0099296,fp32_strict,1,128,3
1,1,0.525130391,26,0.01034,fp32_strict,1,128,3
1,0,0.527042031,37,0.0098921,fp32_strict,1,128,3
1,1,0.525991857,22,0.0102382,fp32_strict,1,128,3
1,1,0.5248276,32,0.0098356,fp32_strict,1,128,3
1,0,0.523310781,28,0.0099855,fp32_strict,1,128,3
1,0,0.523920894,22,0.0098667,fp32_strict,1,128,3
1,1,0.524419188,23,0.0100393,fp32_strict,1,128,3
1,1,0.526122868,12,0.0112247,fp32_strict,1,128,3
1,1,0.525458574,15,0.0100077,fp32_strict,1,128,3
1,0,0.527614355,18,0.0097173,fp32_strict,1,128,3
1,0,0.524024248,42,0.0097848,fp32_strict,1,128,3
1,1,0.524597406,38,0.0097905,fp32_strict,1,128,3
1,1,0.523904979,13,0.0099015,fp32_strict,1,128,3
1,1,0.527673602,32,0.0098433,fp32_strict,1,128,3
1,0,0.52539736,20,0.0098462,fp32_strict,1,128,3
1,1,0.526431262,17,0.0114039,fp32_strict,1,128,3
1,0,0.525123298,16,0.0109148,fp32_strict,1,128,3
1,1,0.523950398,22,0.009755,fp32_strict,1,128,3
1,1,0.525094807,34,0.0097925,fp32_strict,1,128,3
1,0,0.526519537,55,0.0097427,fp32_strict,1,128,3
1,1,0.522348464,24,0.0121495,fp32_strict,1,128,3
1,0,0.526780903,27,0.0097907,fp32_strict,1,128,3
1,0,0.527672648,25,0.0097359,fp32_strict,1,128,3
1,1,0.523875952,31,0.0099719,fp32_strict,1,128,3
1,1,0.524992764,28,0.0097856,fp32_strict,1,128,3
1,1,0.526777208,26,0.0098263,fp32_strict,1,128,3
1,0,0.525271535,27,0.0099554,fp32_strict,1,128,3
1,1,0.525863349,24,0.0098173,fp32_strict,1,128,3
1,1,0.52549839,40,0.0096986,fp32_strict,1,128,3
1,1,0.526997626,23,0.0109147,fp32_strict,1,128,3
1,1,0.526089668,23,0.0161114,fp32_strict,1,128,3
1,1,0.523163199,23,0.0098763,fp32_strict,1,128,3
1,0,0.524752259,18,0.0104873,fp32_strict,1,128,3
1,1,0.525152445,25,0.0099974,fp32_strict,1,128,3
1,1,0.523578227,32,0.012106,fp32_strict,1,128,3
1,0,0.525938809,31,0.0099046,fp32_strict,1,128,3
1,0,0.525570989,34,0.0099009,fp32_strict,1,128,3
1,1,0.524752498,34,0.0098134,fp32_strict,1,128,3
1,0,0.52401948,30,0.0096217,fp32_strict,1,128,3
1,0,0.526013196,13,0.0114136,fp32_strict,1,128,3
1,1,0.524408162,28,0.0114671,fp32_strict,1,128,3
1,0,0.527279317,27,0.0105373,fp32_strict,1,128,3
1,1,0.530658066,22,0.0094718,fp32_strict,1,128,3
1,1,0.527412117,18,0.00964,fp32_strict,1,128,3
1,1,0.527482212,54,0.0122198,fp32_strict,1,128,3
1,0,0.524223983,40,0.0114797,fp32_strict,1,128,3
1,1,0.522065759,23,0.0103052,fp32_strict,1,128,3
1,0,0.521976054,28,0.009426,fp32_strict,1,128,3
1,0,0.522763014,27,0.0111697,fp32_strict,1,128,3
1,1,0.527043104,24,0.0099558,fp32_strict,1,128,3
1,0,0.52452749,16,0.0094316,fp32_strict,1,128,3
1,0,0.526360154,20,0.0094952,fp32_strict,1,128,3
1,1,0.525682449,10,0.0099227,fp32_strict,1,128,3
1,0,0.526334405,10,0.0097599,fp32_strict,1,128,3
1,1,0.523877621,35,0.0096308,fp32_strict,1,128,3
1,0,0.524767637,24,0.011343,fp32_strict,1,128,3
1,1,0.526942492,20,0.0134108,fp32_strict,1,128,3
1,1,0.524795294,32,0.0105753,fp32_strict,1,128,3
1,0,0.526431918,26,0.0094515,fp32_strict,1,128,3
1,0,0.527255118,21,0.0100758,fp32_strict,1,128,3
1,1,0.528435409,33,0.0103332,fp32_strict,1,128,3
1,0,0.523340285,27,0.0111702,fp32_strict,1,128,3
1,1,0.525980055,13,0.0106912,fp32_strict,1,128,3
1,1,0.525052726,15,0.0094495,fp32_strict,1,128,3
1,1,0.525847673,39,0.011617,fp32_strict,1,128,3
1,1,0.528206289,29,0.01101,fp32_strict,1,128,3
1,0,0.524252653,29,0.0109317,fp32_strict,1,128,3
1,0,0.525483429,39,0.010942,fp32_strict,1,128,3
1,1,0.524941981,33,0.0111588,fp32_strict,1,128,3
1,1,0.524751246,22,0.0113145,fp32_strict,1,128,3
1,0,0.523609102,16,0.0096807,fp32_strict,1,128,3
1,0,0.523913562,21,0.0094204,fp32_strict,1,128,3
1,1,0.527999938,24,0.0095664,fp32_strict,1,128,3
1,0,0.527028441,51,0.01031,fp32_strict,1,128,3
1,0,0.524416983,25,0.009533,fp32_strict,1,128,3
1,0,0.52346319,49,0.0093901,fp32_strict,1,128,3
1,0,0.524559736,17,0.0097055,fp32_strict,1,128,3
1,0,0.52660954,11,0.0095464,fp32_strict,1,128,3
1,1,0.526819289,14,0.0094918,fp32_strict,1,128,3
1,0,0.52545929,16,0.0098756,fp32_strict,1,128,3
1,0,0.522125185,28,0.0104225,fp32_strict,1,128,3
1,0,0.524361372,21,0.0099476,fp32_strict,1,128,3
1,1,0.525433898,20,0.0099016,fp32_strict,1,128,3
1,1,0.524692953,16,0.0098742,fp32_strict,1,128,3
1,0,0.52815038,25,0.0099177,fp32_strict,1,128,3
1,0,0.523743212,34,0.0105983,fp32_strict,1,128,3
1,1,0.528270364,28,0.0100653,fp32_strict,1,128,3
1,0,0.526487589,33,0.0098782,fp32_strict,1,128,3
1,0,0.524786055,23,0.009949,fp32_strict,1,128,3
1,1,0.525170684,40,0.0105358,fp32_strict,1,128,3
